name,per,team
Alaa Abdelnaby,13.4,BOS
Mahmoud Abdul-Rauf,15.6,DEN
Michael Adams,15.6,WSB
Rafael Addison,8.4,NJN
Mark Aguirre,13.7,DET
Danny Ainge,14.3,PHO
Victor Alexander,14.3,GSW
Kenny Anderson,16.6,NJN
Nick Anderson,17.3,ORL
Ron Anderson,11.8,PHI
Greg Anthony,13.7,NYK
B.J. Armstrong,14.7,CHI
Vincent Askew,13.4,SEA
Stacey Augmon,15.2,ATL
Anthony Avent,10.2,MIL
Thurl Bailey,12.9,MIN
Charles Barkley,25.9,PHO
Dana Barros,15.0,SEA
David Benoit,11.3,UTA
Rolando Blackman,10.6,NYK
Mookie Blaylock,17.1,ATL
Muggsy Bogues,14.5,CHH
Walter Bond,9.0,DAL
Anthony Bonner,12.3,SAC
Anthony Bowie,11.2,ORL
Sam Bowie,13.2,NJN
Terrell Brandon,16.7,CLE
Frank Brickowski,17.0,MIL
Scott Brooks,14.1,HOU
Chucky Brown,11.2,NJN
Dee Brown,17.2,BOS
Mike Brown,9.4,UTA
Randy Brown,11.3,SAC
Mark Bryant,11.2,POR
Jud Buechler,11.5,GSW
Matt Bullard,13.6,HOU
Michael Cage,13.2,SEA
Elden Campbell,14.2,LAL
Tony Campbell,11.6,NYK
Antoine Carr,16.1,SAS
Bill Cartwright,8.3,CHI
Duane Causwell,14.2,SAC
Cedric Ceballos,21.0,PHO
Tom Chambers,14.7,PHO
Rex Chapman,15.1,WSB
Derrick Coleman,21.2,NJN
Bimbo Coles,14.7,MIA
Tyrone Corbin,14.4,UTA
Dell Curry,16.0,CHH
Lloyd Daniels,12.9,SAS
Brad Daugherty,22.0,CLE
Dale Davis,16.3,IND
Terry Davis,11.7,DAL
Johnny Dawkins,14.6,PHI
Todd Day,14.5,MIL
Vinny Del Negro,13.9,SAS
Vlade Divac,17.1,LAL
Sherman Douglas,13.5,BOS
Clyde Drexler,20.7,POR
Kevin Duckworth,11.4,POR
Chris Dudley,9.9,NJN
Joe Dumars,17.6,DET
Richard Dumas,18.6,PHO
Mark Eaton,8.7,UTA
Blue Edwards,16.4,MIL
Kevin Edwards,17.1,MIA
Craig Ehlo,14.2,CLE
Mario Elie,14.2,POR
Sean Elliott,15.5,SAS
Dale Ellis,15.0,SAS
LaPhonso Ellis,16.6,DEN
