team2Score,team1Score,team1,team2
108,104,Chicago Bulls,Boston Celtics
151,129,Seattle SuperSonics,Dallas Mavericks
128,95,Denver Nuggets,Los Angeles Lakers
99,85,Golden State Warriors,Utah Jazz
110,94,Indiana Pacers,Atlanta Hawks
106,92,Washington Bullets,Detroit Pistons
107,104,Philadelphia 76ers,Milwaukee Bucks
115,125,Houston Rockets,Portland Trail Blazers
110,112,Seattle SuperSonics,Dallas Mavericks
139,127,Denver Nuggets,Los Angeles Lakers
103,100,Golden State Warriors,Utah Jazz
94,93,Indiana Pacers,Atlanta Hawks
105,96,Chicago Bulls,Boston Celtics
128,85,Washington Bullets,Detroit Pistons
122,125,Philadelphia 76ers,Milwaukee Bucks
111,98,Houston Rockets,Portland Trail Blazers
94,105,Boston Celtics,Chicago Bulls
117,108,Portland Trail Blazers,Houston Rockets
117,107,Dallas Mavericks,Seattle SuperSonics
103,140,Los Angeles Lakers,Denver Nuggets
110,95,Utah Jazz,Golden State Warriors
96,87,Atlanta Hawks,Indiana Pacers
120,121,Milwaukee Bucks,Philadelphia 76ers
96,97,Detroit Pistons,Washington Bullets
113,101,Portland Trail Blazers,Houston Rockets
124,98,Dallas Mavericks,Seattle SuperSonics
98,94,Utah Jazz,Golden State Warriors
97,101,Atlanta Hawks,Indiana Pacers
124,118,Milwaukee Bucks,Philadelphia 76ers
106,111,Seattle SuperSonics,Houston Rockets
111,112,Detroit Pistons,Atlanta Hawks
102,89,Philadelphia 76ers,Milwaukee Bucks
113,118,Golden State Warriors,Utah Jazz
115,102,Detroit Pistons,Atlanta Hawks
111,98,Milwaukee Bucks,Boston Celtics
97,99,Seattle SuperSonics,Houston Rockets
125,116,Golden State Warriors,Los Angeles Lakers
126,124,Milwaukee Bucks,Boston Celtics
116,101,Golden State Warriors,Los Angeles Lakers
84,102,Houston Rockets,Seattle SuperSonics
108,99,Atlanta Hawks,Detroit Pistons
126,121,Boston Celtics,Milwaukee Bucks
108,133,Los Angeles Lakers,Golden State Warriors
117,102,Houston Rockets,Seattle SuperSonics
89,88,Atlanta Hawks,Detroit Pistons
129,121,Los Angeles Lakers,Golden State Warriors
137,138,Boston Celtics,Milwaukee Bucks
112,107,Seattle SuperSonics,Houston Rockets
118,106,Golden State Warriors,Los Angeles Lakers
96,104,Detroit Pistons,Atlanta Hawks
124,129,Milwaukee Bucks,Boston Celtics
128,125,Houston Rockets,Seattle SuperSonics
121,111,Boston Celtics,Milwaukee Bucks
92,87,Seattle SuperSonics,Los Angeles Lakers
119,113,Milwaukee Bucks,Boston Celtics
104,91,Detroit Pistons,Boston Celtics
112,104,Seattle SuperSonics,Los Angeles Lakers
110,101,Detroit Pistons,Boston Celtics
122,104,Boston Celtics,Detroit Pistons
121,122,Los Angeles Lakers,Seattle SuperSonics
145,119,Boston Celtics,Detroit Pistons
102,133,Los Angeles Lakers,Seattle SuperSonics
108,107,Detroit Pistons,Boston Celtics
113,105,Boston Celtics,Detroit Pistons
117,114,Detroit Pistons,Boston Celtics
126,113,Boston Celtics,Los Angeles Lakers
141,122,Boston Celtics,Los Angeles Lakers
109,103,Los Angeles Lakers,Boston Celtics
106,107,Los Angeles Lakers,Boston Celtics
123,108,Los Angeles Lakers,Boston Celtics
106,93,Boston Celtics,Los Angeles Lakers
team2Score,team1Score,team1,team2
108,104,Chicago Bulls,Boston Celtics
151,129,Seattle SuperSonics,Dallas Mavericks
128,95,Denver Nuggets,Los Angeles Lakers
99,85,Golden State Warriors,Utah Jazz
110,94,Indiana Pacers,Atlanta Hawks
106,92,Washington Bullets,Detroit Pistons
107,104,Philadelphia 76ers,Milwaukee Bucks
115,125,Houston Rockets,Portland Trail Blazers
110,112,Seattle SuperSonics,Dallas Mavericks
139,127,Denver Nuggets,Los Angeles Lakers
103,100,Golden State Warriors,Utah Jazz
94,93,Indiana Pacers,Atlanta Hawks
105,96,Chicago Bulls,Boston Celtics
128,85,Washington Bullets,Detroit Pistons
122,125,Philadelphia 76ers,Milwaukee Bucks
