team2Score,team1Score,team1,team2
94,84,Washington Wizards,Cleveland Cavaliers
91,99,Dallas Mavericks,Los Angeles Lakers
120,107,Boston Celtics,Miami Heat
93,87,Sacramento Kings,Chicago Bulls
96,105,Houston Rockets,Detroit Pistons
101,92,Memphis Grizzlies,Los Angeles Clippers
95,99,San Antonio Spurs,New Orleans Hornets
84,75,Denver Nuggets,Philadelphia 76ers
85,87,Golden State Warriors,Phoenix Suns
116,106,Los Angeles Lakers,Portland Trail Blazers
88,90,Indiana Pacers,Toronto Raptors
113,94,Dallas Mavericks,Utah Jazz
86,84,Oklahoma City Thunder,San Antonio Spurs
102,109,Houston Rockets,Atlanta Hawks
88,99,Milwaukee Bucks,Boston Celtics
90,89,Indiana Pacers,Charlotte Bobcats
86,115,Chicago Bulls,Cleveland Cavaliers
94,104,Memphis Grizzlies,Golden State Warriors
95,105,Los Angeles Clippers,Los Angeles Lakers
92,80,Sacramento Kings,Minnesota Timberwolves
88,86,Utah Jazz,New Orleans Hornets
104,84,Miami Heat,New York Knicks
106,92,Portland Trail Blazers,Oklahoma City Thunder
102,89,Denver Nuggets,Orlando Magic
92,89,Detroit Pistons,Phoenix Suns
107,100,Toronto Raptors,Brooklyn Nets
82,89,New Orleans Hornets,Chicago Bulls
126,99,Charlotte Bobcats,Dallas Mavericks
85,95,Portland Trail Blazers,Houston Rockets
106,98,Sacramento Kings,Indiana Pacers
110,114,Golden State Warriors,Los Angeles Clippers
119,116,Denver Nuggets,Miami Heat
105,102,Cleveland Cavaliers,Milwaukee Bucks
110,100,Utah Jazz,San Antonio Spurs
86,89,Boston Celtics,Washington Wizards
108,79,Detroit Pistons,Los Angeles Lakers
100,84,Philadelphia 76ers,New York Knicks
95,104,Atlanta Hawks,Oklahoma City Thunder
115,94,Phoenix Suns,Orlando Magic
105,86,Minnesota Timberwolves,Toronto Raptors
96,107,Minnesota Timberwolves,Brooklyn Nets
114,91,Portland Trail Blazers,Dallas Mavericks
101,108,Cleveland Cavaliers,Los Angeles Clippers
103,94,Utah Jazz,Memphis Grizzlies
124,99,Phoenix Suns,Miami Heat
88,110,New York Knicks,Philadelphia 76ers
94,92,Golden State Warriors,Sacramento Kings
101,79,Indiana Pacers,San Antonio Spurs
99,93,Orlando Magic,Chicago Bulls
109,97,Detroit Pistons,Denver Nuggets
108,88,Toronto Raptors,Oklahoma City Thunder
89,86,Indiana Pacers,Atlanta Hawks
100,94,Washington Wizards,Boston Celtics
110,117,Phoenix Suns,Charlotte Bobcats
109,104,Toronto Raptors,Dallas Mavericks
106,96,Cleveland Cavaliers,Golden State Warriors
87,93,Denver Nuggets,Houston Rockets
106,84,San Antonio Spurs,Los Angeles Clippers
103,73,Brooklyn Nets,Miami Heat
90,108,Memphis Grizzlies,Milwaukee Bucks
90,75,Orlando Magic,Minnesota Timberwolves
62,77,Philadelphia 76ers,New Orleans Hornets
105,103,Detroit Pistons,Sacramento Kings
95,86,Los Angeles Lakers,Utah Jazz
91,97,Oklahoma City Thunder,Chicago Bulls
90,103,Los Angeles Clippers,Portland Trail Blazers
89,95,Miami Heat,Atlanta Hawks
100,106,Philadelphia 76ers,Boston Celtics
104,84,Utah Jazz,Denver Nuggets
101,77,Golden State Warriors,Los Angeles Lakers
93,85,Houston Rockets,Memphis Grizzlies
96,94,Indiana Pacers,Minnesota Timberwolves
107,99,Charlotte Bobcats,New Orleans Hornets
104,94,Dallas Mavericks,New York Knicks
105,94,Detroit Pistons,Oklahoma City Thunder
68,107,Brooklyn Nets,Orlando Magic
107,105,Cleveland Cavaliers,Phoenix Suns
86,97,San Antonio Spurs,Sacramento Kings
91,101,Milwaukee Bucks,Washington Wizards
101,97,Dallas Mavericks,Charlotte Bobcats
87,80,Minnesota Timberwolves,Chicago Bulls
101,107,Denver Nuggets,Golden State Warriors
96,82,Detroit Pistons,Houston Rockets
89,85,Washington Wizards,Indiana Pacers
92,96,Boston Celtics,Milwaukee Bucks
109,112,San Antonio Spurs,Portland Trail Blazers
83,93,Philadelphia 76ers,Toronto Raptors
94,81,Phoenix Suns,Utah Jazz
82,74,Orlando Magic,Brooklyn Nets
89,76,Atlanta Hawks,Los Angeles Clippers
103,90,Sacramento Kings,Los Angeles Lakers
104,86,Miami Heat,Memphis Grizzlies
106,91,Cleveland Cavaliers,Oklahoma City Thunder
95,101,Boston Celtics,Chicago Bulls
82,90,Minnesota Timberwolves,Dallas Mavericks
90,92,Oklahoma City Thunder,Detroit Pistons
110,113,Miami Heat,Houston Rockets
96,105,Milwaukee Bucks,Philadelphia 76ers
110,100,Denver Nuggets,Phoenix Suns
87,95,Atlanta Hawks,Portland Trail Blazers
133,140,Utah Jazz,Toronto Raptors
114,101,Cleveland Cavaliers,Brooklyn Nets
92,76,Washington Wizards,Charlotte Bobcats
72,74,Toronto Raptors,Indiana Pacers
82,84,San Antonio Spurs,Los Angeles Lakers
89,99,New York Knicks,Orlando Magic
86,103,Portland Trail Blazers,Sacramento Kings
98,93,Utah Jazz,Boston Celtics
107,101,Washington Wizards,Dallas Mavericks
92,88,Atlanta Hawks,Golden State Warriors
100,96,New Orleans Hornets,Houston Rockets
107,100,Miami Heat,Los Angeles Clippers
99,85,Indiana Pacers,Milwaukee Bucks
87,89,Charlotte Bobcats,Minnesota Timberwolves
97,107,Memphis Grizzlies,Oklahoma City Thunder
76,94,Detroit Pistons,Philadelphia 76ers
106,112,Chicago Bulls,Phoenix Suns
102,97,Boston Celtics,Brooklyn Nets
93,98,Miami Heat,Denver Nuggets
100,104,New York Knicks,San Antonio Spurs
106,110,Orlando Magic,Detroit Pistons
103,83,Dallas Mavericks,Indiana Pacers
114,102,Phoenix Suns,Los Angeles Lakers
105,95,New York Knicks,Memphis Grizzlies
98,106,Golden State Warriors,Minnesota Timberwolves
95,110,Oklahoma City Thunder,New Orleans Hornets
99,93,Utah Jazz,Philadelphia 76ers
119,117,Houston Rockets,Portland Trail Blazers
96,112,Atlanta Hawks,Sacramento Kings
107,89,Toronto Raptors,Boston Celtics
87,94,Memphis Grizzlies,Charlotte Bobcats
95,103,Dallas Mavericks,Cleveland Cavaliers
101,80,Chicago Bulls,Los Angeles Clippers
117,113,New Orleans Hornets,Milwaukee Bucks
88,97,Miami Heat,Phoenix Suns
126,100,Denver Nuggets,San Antonio Spurs
76,83,Utah Jazz,Washington Wizards
103,83,Boston Celtics,Detroit Pistons
119,108,Houston Rockets,Los Angeles Lakers
88,76,Indiana Pacers,New York Knicks
119,109,Golden State Warriors,Oklahoma City Thunder
86,79,Cleveland Cavaliers,Philadelphia 76ers
102,94,Chicago Bulls,Portland Trail Blazers
90,99,Brooklyn Nets,Sacramento Kings
97,86,Orlando Magic,Toronto Raptors
81,72,Orlando Magic,Atlanta Hawks
102,98,Milwaukee Bucks,Charlotte Bobcats
101,105,Golden State Warriors,Dallas Mavericks
92,97,Denver Nuggets,Memphis Grizzlies
87,92,Los Angeles Clippers,San Antonio Spurs
102,91,Houston Rockets,Utah Jazz
