srs,ratio,team
4.83,.683,Boston Celtics
0.48,.512,New York Knicks
1.01,.500,Philadelphia 76ers
-6.28,.293,New Jersey Nets
-6.28,.268,Toronto Raptors
6.53,.756,Chicago Bulls
-1.38,.451,Indiana Pacers
-1.02,.427,Milwaukee Bucks
-3.78,.366,Detroit Pistons
-8.88,.232,Cleveland Cavaliers
6.76,.707,Miami Heat
4.92,.634,Orlando Magic
-1.10,.537,Atlanta Hawks
-4.08,.415,Charlotte Bobcats
-7.30,.280,Washington Wizards
3.81,.671,Oklahoma City Thunder
4.81,.610,Denver Nuggets
1.85,.585,Portland Trail Blazers
-1.44,.476,Utah Jazz
-5.97,.207,Minnesota Timberwolves
6.01,.695,Los Angeles Lakers
-0.46,.488,Phoenix Suns
-2.00,.439,Golden State Warriors
-2.71,.390,Los Angeles Clippers
-4.80,.293,Sacramento Kings
5.86,.744,San Antonio Spurs
4.41,.695,Dallas Mavericks
1.28,.561,New Orleans Hornets
2.55,.561,Memphis Grizzlies
2.37,.524,Houston Rockets
