tm1,tm1PER,tm1winPerc,tm2,tm2PER,tm2winPerc,seasonSeries,outcome
MIL,21.9,.537,CHI,31.2,.671,-1,0
POR,22.2,.720,DET,17.3,.720,0,0
DEN,19.9,.524,SAS,26.3,.683,-1,0
PHI,27.1,.646,CHI,31.2,.671,0,0
DAL,19.8,.573,POR,22.2,.720,-1,0
CLE,21.1,.512,PHI,27.1,.646,0,0
SAS,26.3,.683,POR,22.2,.720,-1,0
NYK,25.8,.549,BOS,21.9,.634,-1,1
PHO,22.8,.659,POR,22.2,.720,-1,0
PHO,22.8,.659,UTA,27.2,.671,1,1
IND,20.8,.512,DET,17.3,.720,-1,0
HOU,24.1,.500,LAL,26.6,.768,0,0
NYK,25.8,.549,DET,17.3,.720,-1,0
CHI,31.2,.671,DET,17.3,.720,-1,0
PHO,22.8,.659,LAL,26.6,.768,-1,1
UTA,24.8,.659,POR,22.1,.768,-1,0
NYK,23.7,.476,CHI,31.6,.744,-1,0
PHI,28.9,.537,CHI,31.6,.744,1,0
DET,18.0,.610,CHI,31.6,.744,-1,0
ATL,23.5,.524,DET,18.0,.610,-1,0
GSW,21.4,.537,LAL,25.1,.707,-1,0
LAL,25.1,.707,CHI,31.6,.744,0,0
GSW,21.4,.537,SAS,27.4,.671,0,1
DET,18.0,.610,BOS,21.2,.683,0,1
HOU,24.3,.634,LAL,25.1,.707,-1,0
PHI,28.9,.537,MIL,22.7,.585,0,1
LAL,25.1,.707,POR,22.1,.768,-1,1
UTA,24.8,.659,PHO,23.7,.671,0,1
IND,21.2,.500,BOS,21.2,.683,0,0
OKC,18.4,.500,POR,22.1,.768,-1,0
OKC,21.6,.573,UTA,25.4,.671,1,0
NYK,22.8,.622,CHI,27.7,.817,-1,0
LAC,19.7,.549,UTA,25.4,.671,-1,0
BOS,21.0,.622,CLE,23.0,.695,1,0
CLE,23.0,.695,CHI,27.7,.817,-1,0
UTA,25.4,.671,POR,23.6,.695,0,0
LAL,17.6,.524,POR,23.6,.695,-1,0
MIA,17.5,.463,CHI,27.7,.817,-1,0
OKC,21.6,.573,GSW,19.9,.671,-1,1
DET,17.0,.585,NYK,22.8,.622,0,0
PHO,19.9,.646,POR,23.6,.695,1,0
BRK,19.5,.488,CLE,23.0,.695,0,0
IND,19.5,.488,BOS,21.0,.622,0,0
SAS,27.5,.573,PHO,19.9,.646,-1,0
POR,23.6,.695,CHI,27.7,.817,-1,0
HOU,27.3,.671,OKC,20.4,.671,-1,0
IND,19.4,.500,NYK,20.8,.732,-1,0
LAL,17.1,.476,PHO,25.9,.756,-1,0
CHA,0,.537,NYK,20.8,.732,-1,0
CLE,22.1,.659,CHI,29.7,.695,1,0
UTA,26.2,.573,OKC,20.4,.671,0,0
BRK,21.2,.524,CLE,22.1,.659,0,0
CHI,29.7,.695,NYK,20.8,.732,-1,1
CHI,29.7,.695,PHO,25.9,.756,0,1
SAS,24.2,.598,POR,20.7,.622,0,1
LAC,19.6,.500,HOU,27.3,.671,-1,0
OKC,20.4,.671,PHO,25.9,.756,1,0
CHA,0,.537,BOS,19.2,.585,-1,1
ATL,24.3,.524,CHI,29.7,.695,0,0
SAS,24.2,.598,PHO,25.9,.756,-1,0
UTA,22.9,.646,SAS,30.7,.671,1,1
GSW,21.7,.610,PHO,22.8,.683,-1,0
NYK,22.9,.695,HOU,25.3,.707,-1,0
IND,20.2,.573,ORL,28.5,.610,0,1
PHO,22.8,.683,HOU,25.3,.707,0,0
IND,20.2,.573,NYK,22.9,.695,-1,0
DEN,17.9,.512,UTA,22.9,.646,-1,0
CLE,22.7,.573,CHI,23.2,.671,1,0
POR,19.8,.573,HOU,25.3,.707,-1,0
MIA,18.5,.512,ATL,21.1,.695,-1,0
DEN,17.9,.512,OKC,22.9,.768,0,1
CHI,23.2,.671,NYK,22.9,.695,-1,0
BRK,21.4,.549,NYK,22.9,.695,1,0
IND,20.2,.573,ATL,21.1,.695,-1,1
UTA,22.9,.646,HOU,25.3,.707,0,0
HOU,26.0,.573,ORL,28.6,.695,-1,1
CHI,22.6,.573,CHA,0,.610,0,1
IND,20.1,.634,NYK,21.9,.671,-1,1
LAL,20.5,.585,SAS,29.1,.756,-1,0
HOU,26.0,.573,PHO,25.2,.720,1,1
LAL,20.5,.585,OKC,21.7,.695,1,1
HOU,26.0,.573,SAS,29.1,.756,-1,1
ATL,19.2,.512,IND,20.1,.634,-1,0
