tm1,tm1PER,tm1winPerc,tm2,tm2PER,tm2winPerc,seasonSeries,outcome
GSW,55.8,.524,PHO,59.2,.671,-1,0
HOU,57.0,.549,OKC,54.6,.573,0,0
CHI,60.9,.573,DET,52.6,.768,-1,0
MIL,54.7,.598,ATL,61.4,.634,-1,1
OKC,54.6,.573,LAL,63.7,.695,-1,0
POR,57.9,.476,LAL,63.7,.695,-1,0
MIL,54.7,.598,DET,52.6,.768,1,0
CHI,60.9,.573,CLE,60.3,.695,-1,1
LAL,63.7,.695,DET,52.6,.768,-1,0
GSW,55.8,.524,UTA,62.9,.622,0,1
DEN,57.1,.537,PHO,59.2,.671,-1,0
CHI,60.9,.573,NYK,58.4,.634,1,1
BOS,59.5,.512,DET,52.6,.768,-1,0
PHI,62.0,.561,NYK,58.4,.634,1,0
PHO,59.2,.671,LAL,63.7,.695,0,0
